16:59:13.210 [main] INFO  c.n.journal_app.JournalApplication - Starting JournalApplication using Java 1.8.0_462 on CorpseDealer with PID 11956 (C:\Users\pnirw\Documents\journal-app\journal-app\target\classes started by pnirw in C:\Users\pnirw\Documents\journal-app\journal-app)
16:59:14.240 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017 to client view of cluster
16:59:14.402 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@1a6cf771 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
16:59:14.661 [cluster-rtt-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:207184}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
16:59:14.661 [cluster-rtt-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:220025}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
16:59:14.661 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:207184}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
16:59:14.661 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:207048}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
16:59:14.661 [cluster-rtt-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:207048}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
16:59:14.661 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:220537}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
16:59:14.662 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=163427700, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000059b, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c61ed140499bdd9437de, counter=6}, lastWriteDate=Thu Sep 11 16:59:13 CEST 2025, lastUpdateTimeNanos=18968530476400}
16:59:14.662 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=163390000, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c5d37a4073cf7e0b624e, counter=4}, lastWriteDate=Thu Sep 11 16:59:13 CEST 2025, lastUpdateTimeNanos=18968530480000}
16:59:14.662 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=163468000, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c66aa8128b5e16432aef, counter=3}, lastWriteDate=Thu Sep 11 16:59:13 CEST 2025, lastUpdateTimeNanos=18968530465400}
16:59:14.664 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000059b from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
16:59:14.664 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 253 from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
16:59:14.664 [cluster-ClusterId{value='68c2e3c2c8345a6e421354e3', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
16:59:14.792 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:220392}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
16:59:15.024 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.springframework.security.crypto.password.PasswordEncoder com.nirwan.journal_app.service.UserService.passwordEncoder
16:59:15.146 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7ff19c33, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@52b3bf03, org.springframework.security.web.context.SecurityContextPersistenceFilter@1391af3b, org.springframework.security.web.header.HeaderWriterFilter@63d5874f, org.springframework.security.web.authentication.logout.LogoutFilter@516462cc, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5f14761c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@77ab22be, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3ebe4ccc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7cca01a8, org.springframework.security.web.session.SessionManagementFilter@5a034157, org.springframework.security.web.access.ExceptionTranslationFilter@1e1b061, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3c91530d]
16:59:15.339 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:59:15.351 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
16:59:15.358 [main] INFO  c.n.journal_app.JournalApplication - Started JournalApplication in 2.391 seconds (JVM running for 3.043)
16:59:18.192 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:59:18.193 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
16:59:18.193 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
