21:50:00.173 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
21:50:00.682 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./1.8.0_462-b08", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='paragnirwan', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@6ac0b715]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.way0yi2.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-zju8ks-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
21:50:00.688 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017 to client view of cluster
21:50:00.721 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017 to client view of cluster
21:50:00.721 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017 to client view of cluster
21:50:00.814 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017 to client view of cluster
21:50:00.834 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017 to client view of cluster
21:50:00.834 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./1.8.0_462-b08", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='paragnirwan', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@67440de6]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.way0yi2.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-zju8ks-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
21:50:00.835 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017 to client view of cluster
21:50:01.074 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@6fc29daa from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
21:50:01.124 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@59ed3e6c from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
21:50:01.216 [cluster-rtt-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:67445}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
21:50:01.216 [cluster-rtt-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:70051}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.216 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:67445}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
21:50:01.216 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:67526}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
21:50:01.216 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:69796}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.216 [cluster-rtt-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:67517}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
21:50:01.217 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=185105800, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c5d37a4073cf7e0b624e, counter=4}, lastWriteDate=Sat Sep 06 21:50:02 CEST 2025, lastUpdateTimeNanos=6523094669300}
21:50:01.217 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=175527400, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000059b, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c61ed140499bdd9437de, counter=6}, lastWriteDate=Sat Sep 06 21:50:02 CEST 2025, lastUpdateTimeNanos=6523094669300}
21:50:01.217 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=185105300, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c66aa8128b5e16432aef, counter=3}, lastWriteDate=Sat Sep 06 21:50:02 CEST 2025, lastUpdateTimeNanos=6523094669200}
21:50:01.220 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000059b from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.220 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 253 from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.220 [cluster-ClusterId{value='68bc90687ae0af28747de769', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.340 [cluster-rtt-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:67517}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
21:50:01.340 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:67446}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
21:50:01.340 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:69810}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.340 [cluster-rtt-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:67446}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
21:50:01.340 [cluster-rtt-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:69810}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.340 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:67517}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
21:50:01.341 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=279159100, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c66aa8128b5e16432aef, counter=3}, lastWriteDate=Sat Sep 06 21:50:02 CEST 2025, lastUpdateTimeNanos=6523216895000}
21:50:01.341 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=279182800, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c5d37a4073cf7e0b624e, counter=4}, lastWriteDate=Sat Sep 06 21:50:02 CEST 2025, lastUpdateTimeNanos=6523216895600}
21:50:01.341 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=279177400, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000059b, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c61ed140499bdd9437de, counter=6}, lastWriteDate=Sat Sep 06 21:50:02 CEST 2025, lastUpdateTimeNanos=6523216895000}
21:50:01.346 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000059b from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.346 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 253 from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.347 [cluster-ClusterId{value='68bc906803dee35631099ee6', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.351 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:69810}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.478 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.springframework.security.crypto.password.PasswordEncoder com.nirwan.journal_app.service.UserService.passwordEncoder
21:50:01.504 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:69424}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
21:50:01.602 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2ef0dd86, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3337d04c, org.springframework.security.web.context.SecurityContextPersistenceFilter@444f44c5, org.springframework.security.web.header.HeaderWriterFilter@59ce792e, org.springframework.security.web.authentication.logout.LogoutFilter@6af5bbd0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@61ab89b0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@24d61e4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@380e1909, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6de6faa6, org.springframework.security.web.session.SessionManagementFilter@6b6b3572, org.springframework.security.web.access.ExceptionTranslationFilter@5cc9d3d0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5922d3e9]
21:50:01.723 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.springframework.security.crypto.password.PasswordEncoder com.nirwan.journal_app.service.UserService.passwordEncoder
21:50:01.831 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
21:50:01.844 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
21:50:01.851 [main] INFO  c.n.journal_app.JournalApplication - Started JournalApplication in 2.452 seconds (JVM running for 3.264)
21:50:02.156 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3c91530d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7d70638, org.springframework.security.web.context.SecurityContextPersistenceFilter@43984213, org.springframework.security.web.header.HeaderWriterFilter@4f3faa70, org.springframework.security.web.authentication.logout.LogoutFilter@59fbb34, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6dc9da2d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@38830ea, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4a8e6e89, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@732f6050, org.springframework.security.web.session.SessionManagementFilter@e11ecfa, org.springframework.security.web.access.ExceptionTranslationFilter@6d074b14, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1fc713c9]
21:50:02.683 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
21:50:02.704 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'; nested exception is org.springframework.boot.web.server.PortInUseException: Port 8080 is already in use
21:50:02.807 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
21:50:02.808 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
21:50:02.821 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
21:50:02.822 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
21:50:02.831 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
21:50:02.873 [main] ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

21:50:07.937 [main] INFO  c.n.journal_app.JournalApplication - Starting JournalApplication using Java 1.8.0_462 on CorpseDealer with PID 24868 (C:\Users\pnirw\Documents\journal-app\journal-app\target\classes started by pnirw in C:\Users\pnirw\Documents\journal-app\journal-app)
21:50:07.940 [main] INFO  c.n.journal_app.JournalApplication - No active profile set, falling back to 1 default profile: "default"
21:50:08.364 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
