11:57:30.909 [main] INFO  c.n.journal_app.JournalApplication - Starting JournalApplication using Java 1.8.0_462 on CorpseDealer with PID 1184 (C:\Users\pnirw\Documents\journal-app\journal-app\target\classes started by pnirw in C:\Users\pnirw\Documents\journal-app\journal-app)
11:57:31.984 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017 to client view of cluster
11:57:31.998 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017 to client view of cluster
11:57:31.999 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-srv-cluster0.way0yi2.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017 to client view of cluster
11:57:32.161 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@13fed1ec from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
11:57:32.360 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:82926}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
11:57:32.360 [cluster-rtt-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:82950}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
11:57:32.360 [cluster-rtt-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:82926}] to ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017
11:57:32.360 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:85277}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
11:57:32.360 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:82953}] to ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017
11:57:32.360 [cluster-rtt-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:85277}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
11:57:32.361 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=156526800, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c5d37a4073cf7e0b624e, counter=4}, lastWriteDate=Sun Sep 07 11:57:33 CEST 2025, lastUpdateTimeNanos=57375444711900}
11:57:32.361 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=170370000, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000059b, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c61ed140499bdd9437de, counter=6}, lastWriteDate=Sun Sep 07 11:57:33 CEST 2025, lastUpdateTimeNanos=57375444733500}
11:57:32.361 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=161197700, setName='atlas-zju8ks-shard-0', canonicalAddress=ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017, hosts=[ac-bk5x6sc-shard-00-00.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017, ac-bk5x6sc-shard-00-02.way0yi2.mongodb.net:27017], passives=[], arbiters=[], primary='ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euc1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=253, topologyVersion=TopologyVersion{processId=68b9c66aa8128b5e16432aef, counter=3}, lastWriteDate=Sun Sep 07 11:57:33 CEST 2025, lastUpdateTimeNanos=57375444711900}
11:57:32.364 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000059b from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
11:57:32.364 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 253 from replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
11:57:32.364 [cluster-ClusterId{value='68bd570b57a41e3b926a3c7b', description='null'}-ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
11:57:32.493 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:85461}] to ac-bk5x6sc-shard-00-01.way0yi2.mongodb.net:27017
11:57:32.615 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: private static final org.springframework.security.crypto.password.PasswordEncoder com.nirwan.journal_app.service.UserService.passwordEncoder
11:57:32.740 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7e4c72d6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6cd64b3f, org.springframework.security.web.context.SecurityContextPersistenceFilter@7ad1caa2, org.springframework.security.web.header.HeaderWriterFilter@7c2dfa2, org.springframework.security.web.authentication.logout.LogoutFilter@5399f6c5, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6d0b0da6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@65d8dff8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@57f847af, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@51b01550, org.springframework.security.web.session.SessionManagementFilter@4fa822ad, org.springframework.security.web.access.ExceptionTranslationFilter@326d27ac, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2440022a]
11:57:32.928 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
11:57:32.941 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
11:57:32.948 [main] INFO  c.n.journal_app.JournalApplication - Started JournalApplication in 2.322 seconds (JVM running for 2.967)
11:57:35.934 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:57:35.934 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:57:35.935 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
